"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;
"1773933218481492428,""Sat Mar 30 14:20:28 +0000 2024"",""0"",""@kompascom Kemaren waktu putusan No. 90 banyak yg bilang MK harusnya tidak berwenang rubah redaksi pasal UU Pilpres harusnya itu ranah Legislatif. Sekarang jelas2 menurut UU ranah MK cuma sengketa 'hasil pemilu/pilpres' bukan sengketa 'proses pilpres' khususnya penetapan paslon. Piye toh?"",""1774079248145543603"","""",""kompascom"",""in"",""Depok, Jawa Barat"",""0"",""0"",""0"",""https://twitter.com/p4piKRiS/status/1774079248145543603"",""217376888"",""p4piKRiS""";;;;
"1774075079556464912,""Sat Mar 30 14:03:54 +0000 2024"",""34"",""Mantan Aktivis GMNI di Tulungagung Sebut Hebat jika MK Hadirkan Menteri di Sidang Sengketa Pilpres https://t.co/jyNc0wc2LG"",""1774075079556464912"","""","""",""in"","""",""0"",""0"",""8"",""https://twitter.com/kba_news/status/1774075079556464912"",""1443801854756880385"",""kba_news""";;;;
"1773984888674513191,""Sat Mar 30 14:03:45 +0000 2024"",""1"",""@SemutMerah2024 @officialMKRI Masih belum bisa karena corengan putusan 90 masih menganga jadi luka masyarakat... buktikan dulu di sengketa pilpres biar masyarakat bisa percaya kembali"",""1774075043087290850"","""",""SemutMerah2024"",""in"",""Indonesia"",""0"",""0"",""0"",""https://twitter.com/ZenRp1000/status/1774075043087290850"",""495108958"",""ZenRp1000""";;;;
"1774052540377932172,""Sat Mar 30 13:58:47 +0000 2024"",""0"",""@mbienyambay2 Hoak ini. Video ini sengketa pilpres 2019."",""1774073792211624366"","""",""mbienyambay2"",""in"",""Jember, Jawa Timur"",""0"",""0"",""0"",""https://twitter.com/AfriansyahVico/status/1774073792211624366"",""1571168411274842112"",""AfriansyahVico""";;;;
"1773964014693023806,""Sat Mar 30 13:50:32 +0000 2024"",""4"",""@kumparan Pemohon meminta agar 4 mentri dihadirkan sbg saksi ini hal wajar dan patut demi kebenaran sehingga para saksi dpt memberi sanggahan atas apa yg didalilkan pemohon didalam sengketa pilpres tsb hakim MK patut merespon hal ini demi tegaknya hukum."",""1774071716677079367"","""",""kumparan"",""in"","""",""0"",""0"",""1"",""https://twitter.com/iangalent1/status/1774071716677079367"",""1616592924388786176"",""iangalent1""";;;;
"1774069513740505492,""Sat Mar 30 13:41:47 +0000 2024"",""0"",""Sidang Perdana Sengketa Pilpres Kubu Ganjar-Mahfud: MK Berubah Jadi Mahkamah yang Memalukan https://t.co/sUje4wWWln @PDI_Perjuangan @ganjarpranowo @mohmahfudmd @TPNGanjarMahfud @DPP_PPP @aniesbaswedan @cakimiNOW @NasDem @DPP_PKB @PKSejahtera #DukungGugatanPilpres2024DiMK"",""1774069513740505492"","""","""",""in"",""Indonesia"",""0"",""1"",""0"",""https://twitter.com/WinHaaha/status/1774069513740505492"",""2892618175"",""WinHaaha""";;;;
"1774042914727035224,""Sat Mar 30 13:34:25 +0000 2024"",""0"",""@txtdrbekasi Semoga bukan pengalihan isu seputaran sengketa pilpres di mk"",""1774067658859970898"","""",""txtdrbekasi"",""in"","""",""0"",""0"",""2"",""https://twitter.com/BakeKok14408086/status/1774067658859970898"",""1517090652932038656"",""BakeKok14408086""";;;;
"1773966434571624455,""Sat Mar 30 13:34:06 +0000 2024"",""0"",""@zakizhaf @KompasTV Ini hanya pengalihan isu sengketa pilpres supaya tetap mendapat dukungan dari pengikutnya..."",""1774067582443868413"","""",""zakizhaf"",""in"",""Bogor"",""0"",""0"",""0"",""https://twitter.com/frans_pra/status/1774067582443868413"",""3031455911"",""frans_pra""";;;;
"1774065807208952136,""Sat Mar 30 13:27:03 +0000 2024"",""395"",""Ketua Tim Hukum Ganjar-Mahfud Todung Mulya Lubis optimistis MK jawab kebuntuan politik dan hukum dalam sidang sengketa hasil Pilpres 2024. Todung Mulya Lubis menegaskan gugatan PHPU diajukan ke MK bukan karena menang-kalah melainkan sebagai upaya untuk menyelamatkan demokrasi https://t.co/mQ5DqTs9B2"",""1774065807208952136"",""https://pbs.twimg.com/media/GJ6_cZObEAAxJUI.jpg"","""",""in"",""Indonesia"",""5"",""50"",""81"",""https://twitter.com/PDI_Perjuangan/status/1774065807208952136"",""153407983"",""PDI_Perjuangan""";;;;
"1773988089285021717,""Sat Mar 30 13:22:04 +0000 2024"",""0"",""@GibrolMbah @SimanjuntakElly Hukum sengketa Pilpres Jelas Aturannya coba Simak Keterangan/jawaban dari Tim Hukum 02 biar Anda Paham"",""1774064554349416691"","""",""MbahGibrol"",""in"","""",""0"",""1"",""0"",""https://twitter.com/SuryonoSyarif/status/1774064554349416691"",""1605758365547737089"",""SuryonoSyarif""";;;;
"1773988089285021717,""Sat Mar 30 13:20:16 +0000 2024"",""0"",""@PasTIGAma2024 @GibrolMbah @SimanjuntakElly Hukum sengketa Pilpres jelas Aturannya. Coba dengar jawaban dari Tim Hukum 02 biar anda ngerti."",""1774064099825275022"","""",""PasTIGAma2024"",""in"","""",""0"",""1"",""0"",""https://twitter.com/SuryonoSyarif/status/1774064099825275022"",""1605758365547737089"",""SuryonoSyarif""";;;;
"1773485752003006859,""Sat Mar 30 13:11:05 +0000 2024"",""0"",""@DadangRusdi @yuwantino12 @ndanaev Jika gagal di MK Anis dan Ganjar ajukan sengketa pilpres ke mahkamah dunia jika gagal lagi akan ajukan ke mahkamah akherat"",""1774061786851049775"","""",""DadangRusdi"",""in"",""Jauh di mata dekat di ketek"",""0"",""1"",""0"",""https://twitter.com/Alminsulim/status/1774061786851049775"",""713710836"",""Alminsulim""";;;;
"1774061234071212529,""Sat Mar 30 13:08:53 +0000 2024"",""0"",""303 Guru Besar dan Akademisi Surati MK Minta Hakim Tak Cuma Urusi Jumlah Suara Sengketa Pilpres Klik untuk baca: https://t.co/mXuoDsQcq3 Kompascom+ baca berita tanpa iklan: https://t.co/xnb9BIFXtz Download aplikasi: https://t.co/VykKS0eeFe https://t.co/mXuoDsQcq3"",""1774061234071212529"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/MMehonx/status/1774061234071212529"",""1642462072754806785"",""MMehonx""";;;;
"1774058266714394852,""Sat Mar 30 12:57:08 +0000 2024"",""0"","" tim hukum Timnas AMIN menyinggung terkait opsi perlindungan melalui LPSK pertanyaannya apakah diperkenankan perlindungan saksi dlm hal sengketa PHPU Pilpres? Karena merujuk norma dalam UU LPSK perlindungan hanya diberikan khusus untuk kasus pidana saja. Apabila (4/6)"",""1774058278395515262"","""",""MIHXXXV"",""in"","""",""0"",""1"",""0"",""https://twitter.com/MIHXXXV/status/1774058278395515262"",""875395914"",""MIHXXXV""";;;;
"1773940662679015668,""Sat Mar 30 12:55:07 +0000 2024"",""3"",""@PDemokrat Pak @SBYudhoyono tahu banyak carut marut Pilpres 2024 Ayo kita dorong beliau jadi Saksi sengketa pilpres di MK."",""1774057770670756059"","""",""PDemokrat"",""in"","""",""0"",""0"",""0"",""https://twitter.com/akhjazuli/status/1774057770670756059"",""994202952"",""akhjazuli""";;;;
"1774052733810852300,""Sat Mar 30 12:35:06 +0000 2024"",""0"",""Prabowo Subianto: Tetap Tenang Menyongsong Hasil Akhir Gugatan Sengketa Pilpres 2024 https://t.co/x1hGUx953P"",""1774052733810852300"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/bisnisbandung63/status/1774052733810852300"",""1690969676287983616"",""bisnisbandung63""";;;;
"1774046685058265571,""Sat Mar 30 12:11:04 +0000 2024"",""0"",""Bahlil Hadalia Minta Penyelesaian Cepat Sengketa Pilpres 'Tidak Ada yang Salah' https://t.co/ILoLOf8II2"",""1774046685058265571"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/bisnisbandung63/status/1774046685058265571"",""1690969676287983616"",""bisnisbandung63""";;;;
"1774041411987611806,""Sat Mar 30 11:50:07 +0000 2024"",""0"",""Sidang Sengketa Pilpres 2024 : Sorotan Syahnan Phalipi https://t.co/PNJGBYEukv"",""1774041411987611806"","""","""",""in"",""JAKARTA"",""0"",""0"",""0"",""https://twitter.com/GhsNewsOnline/status/1774041411987611806"",""1596144061714694145"",""GhsNewsOnline""";;;;
"1774040653342838843,""Sat Mar 30 11:47:06 +0000 2024"",""0"",""5 Fakta Sengketa Pilpres Hingga Bentok Antar Mahasiswa di Kampus | POP NEWS https://t.co/bXti7fuQPp"",""1774040653342838843"","""","""",""in"",""Indonesia"",""0"",""0"",""2"",""https://twitter.com/KompasTV/status/1774040653342838843"",""71436318"",""KompasTV""";;;;
